Token,Count,Probability,Positions
00000000010000000000,53,0.04176516942474389,"[(0, 0), (545, 0), (2523, 3)]"
00010000000000000000,50,0.039401103230890466,"[(0, 1)]"
00000000000100000000,46,0.036249014972419225,"[(0, 2), (26, 4), (654, 4), (981, 1)]"
00000000000010000000,46,0.036249014972419225,"[(0, 3), (1172, 4), (2542, 2), (2725, 1)]"
00000000000000010000,44,0.03467297084318361,"[(0, 4), (36, 4), (91, 4), (296, 0), (296, 2), (298, 1), (330, 4), (362, 3), (405, 4), (414, 4), (440, 0), (452, 3), (491, 0), (509, 2), (523, 2), (561, 3), (574, 4), (621, 0), (745, 4), (959, 4), (1016, 3), (1034, 2), (1140, 1), (1140, 2), (1177, 3), (1249, 3), (1358, 2), (1495, 0), (1526, 0), (1526, 4), (1726, 4), (1794, 3), (1904, 3), (1949, 4), (1984, 2), (2210, 0), (2274, 2), (2394, 3), (2451, 3), (2566, 3), (2598, 3), (2837, 2), (2921, 0)]"
01000000000000000000,44,0.03467297084318361,"[(2, 1), (26, 1), (218, 1), (2071, 3), (2071, 4)]"
00000000000001000000,44,0.03467297084318361,"[(2, 2), (138, 4), (198, 2), (268, 3), (291, 2), (295, 0), (329, 0), (380, 3), (402, 4), (405, 1), (437, 1), (439, 3), (547, 1), (612, 0), (635, 1), (1031, 0), (1072, 2), (1116, 3), (1140, 0), (1180, 2), (1277, 1), (1324, 0), (1386, 3), (1561, 2), (1688, 0), (1770, 4), (1869, 0), (1879, 4), (2012, 3), (2057, 1), (2057, 3), (2146, 4), (2254, 4), (2385, 3), (2448, 2), (2489, 0), (2512, 3), (2541, 2), (2560, 4), (2594, 0), (2602, 2), (2812, 4), (2930, 2), (2951, 4)]"
00000000001000000000,43,0.0338849487785658,"[(2, 3), (1358, 1), (1635, 3), (2616, 1), (2834, 3)]"
00000000000000000010,41,0.03230890464933018,"[(2, 4)]"
00100000000000000000,41,0.03230890464933018,"[(3, 0)]"
00000000000000000100,40,0.03152088258471237,"[(3, 1), (90, 2), (135, 3), (184, 4), (187, 3), (296, 1), (328, 3), (402, 1), (512, 1), (571, 3), (636, 2), (704, 4), (945, 0), (959, 1), (1072, 0), (1112, 4), (1290, 2), (1399, 4), (1879, 2), (1934, 1), (1940, 0), (1943, 0), (1944, 3), (1962, 3), (2049, 4), (2188, 2), (2230, 1), (2255, 1), (2305, 1), (2305, 2), (2322, 2), (2525, 4), (2561, 4), (2602, 1), (2603, 4), (2860, 2), (2969, 1)]"
00000000000000001000,40,0.03152088258471237,"[(3, 2)]"
00000100000000000000,37,0.029156816390858944,"[(3, 3), (305, 0), (595, 0), (636, 0), (2106, 3)]"
00000000100000000000,34,0.026792750197005517,"[(3, 4), (1308, 0)]"
00001000000000000000,33,0.026004728132387706,"[(14, 0), (29, 0), (36, 2), (109, 0), (111, 3), (144, 4), (308, 4), (405, 2), (438, 4), (450, 2), (523, 4), (527, 3), (564, 4), (741, 3), (877, 1), (886, 2), (947, 2), (966, 1), (1012, 3), (1116, 4), (1202, 3), (1531, 4), (1612, 3), (1616, 4), (1651, 0), (1835, 4), (1869, 4), (1889, 3), (2012, 2), (2047, 1), (2292, 3), (2303, 4), (2315, 2), (2367, 0), (2494, 0), (2494, 4), (2576, 0), (2585, 1), (2602, 4), (2811, 3), (2820, 3), (2824, 3), (2886, 2), (2943, 2), (2999, 3), (3018, 3)]"
00000000000000000001,33,0.026004728132387706,"[(14, 1), (22, 1), (77, 4), (78, 4), (91, 1), (244, 2), (287, 0), (309, 3), (341, 3), (418, 3), (487, 2), (490, 3), (652, 4), (832, 0), (947, 0), (963, 4), (1159, 0), (1181, 0), (1181, 1), (1205, 3), (1504, 3), (1617, 0), (1861, 3), (1875, 1), (1931, 0), (2013, 1), (2121, 4), (2183, 4), (2266, 3), (2276, 1), (2294, 4), (2303, 1), (2383, 0), (2489, 1), (2593, 0), (2726, 2), (2775, 2), (2821, 1), (2884, 4), (2920, 1), (2996, 0)]"
10000000000000000000,32,0.0252167060677699,"[(14, 2), (159, 0), (159, 2), (284, 2), (381, 1), (614, 2), (620, 0), (636, 3), (886, 4), (924, 2), (1067, 4), (1403, 1), (1417, 1), (1468, 3), (1513, 1), (1822, 4), (1887, 1), (1905, 0), (1916, 0), (1948, 2), (2162, 3), (2232, 1), (2244, 2), (2255, 3), (2259, 1), (2305, 0), (2376, 4), (2507, 0), (2515, 0), (2562, 2), (2630, 3), (2694, 4), (2836, 1), (2881, 1)]"
00000000000000100000,32,0.0252167060677699,"[(16, 0), (689, 4)]"
00000010000000000000,29,0.022852639873916468,"[(26, 0), (75, 4), (89, 0), (109, 1), (135, 0), (160, 3), (226, 1), (268, 0), (293, 3), (307, 3), (345, 2), (393, 1), (438, 1), (462, 1), (495, 0), (501, 3), (596, 0), (611, 0), (623, 3), (723, 3), (816, 4), (872, 1), (874, 0), (888, 1), (959, 0), (961, 1), (969, 1), (973, 1), (1177, 1), (1177, 2), (1408, 0), (1540, 2), (1579, 0), (1835, 2), (1855, 0), (1883, 3), (2012, 0), (2040, 2), (2146, 2), (2274, 4), (2380, 1), (2414, 4), (2560, 1), (2566, 4), (2572, 0), (2599, 1), (2607, 1), (2667, 4), (2776, 2), (2800, 4)]"
00000001000000000000,29,0.022852639873916468,"[(26, 2), (514, 2)]"
00001000000000010000,6,0.004728132387706856,"[(29, 1), (109, 2), (125, 2), (144, 1), (175, 3), (198, 1), (217, 1), (218, 4), (284, 1), (377, 3), (378, 1), (488, 1), (491, 1), (526, 2), (530, 1), (612, 2), (898, 3), (904, 1), (927, 1), (937, 0), (1508, 1), (1903, 1), (1944, 2), (2124, 4), (2376, 3), (2397, 1), (2494, 2), (2537, 3), (2554, 0), (2557, 0), (2694, 3), (2775, 0), (2995, 1)]"
00000000010000000010,6,0.004728132387706856,"[(29, 4), (72, 0), (175, 0), (229, 2), (247, 4), (341, 0), (356, 0), (377, 4), (382, 3), (450, 4), (454, 2), (502, 2), (571, 1), (701, 0), (1007, 3), (1595, 3), (1643, 4), (1903, 0), (2041, 4), (2057, 2), (2157, 4), (2202, 0), (2340, 3), (2380, 3), (2541, 1), (2559, 3), (2666, 1), (2702, 0), (2799, 0), (2836, 0), (2944, 2), (2995, 2), (3039, 0)]"
00001000000000001000,5,0.003940110323089046,"[(35, 0)]"
00010000000010000000,5,0.003940110323089046,"[(35, 1)]"
00000000001000000100,5,0.003940110323089046,"[(35, 2), (662, 2), (2821, 0)]"
00001000000001000000,5,0.003940110323089046,"[(35, 3)]"
01000000010000000000,4,0.0031520882584712374,"[(35, 4)]"
10000000010000000000,4,0.0031520882584712374,"[(47, 2), (78, 2), (112, 2), (143, 3), (265, 4), (305, 1), (308, 1), (330, 2), (623, 4), (785, 1), (958, 1), (962, 1), (1067, 1), (1116, 2), (1290, 3), (1399, 3), (1419, 4), (1443, 3), (1495, 1), (1579, 2), (1839, 3), (1856, 2), (1905, 3), (1905, 4), (2121, 2), (2230, 0), (2230, 3), (2258, 2), (2266, 0), (2290, 0), (2385, 2), (2385, 4), (2484, 2), (2485, 2), (2521, 1), (2602, 0), (2707, 1), (2733, 2), (2929, 2), (3035, 0), (3039, 3)]"
00000001000000001000,4,0.0031520882584712374,"[(50, 0), (91, 2), (138, 2), (185, 4), (244, 4), (296, 3), (304, 0), (335, 0), (413, 0), (439, 2), (530, 0), (546, 3), (548, 2), (548, 4), (549, 3), (680, 0), (995, 1), (995, 3), (1058, 0), (1168, 2), (1168, 3), (1181, 2), (1452, 4), (1504, 0), (1504, 2), (1840, 4), (1940, 3), (2106, 2), (2198, 3), (2232, 3), (2272, 0), (2280, 0), (2384, 0), (2454, 0), (2668, 0), (2727, 1), (2762, 3), (2850, 4), (2868, 2), (2909, 0)]"
00000010000000000100,4,0.0031520882584712374,"[(50, 1)]"
00100000001000000000,4,0.0031520882584712374,"[(50, 2), (1125, 1), (1125, 2)]"
00000100000000100000,4,0.0031520882584712374,"[(50, 3), (98, 4), (109, 4), (138, 1), (156, 3), (343, 0), (343, 3), (353, 3), (394, 1), (402, 0), (418, 1), (512, 2), (571, 4), (623, 0), (670, 2), (704, 1), (717, 3), (745, 0), (923, 1), (1016, 2), (1106, 0), (1116, 1), (1264, 4), (1605, 1), (1731, 0), (1834, 3), (1839, 2), (2013, 4), (2053, 0), (2053, 4), (2057, 4), (2162, 0), (2194, 2), (2271, 0), (2271, 1), (2280, 2), (2296, 1), (2323, 3), (2326, 2), (2339, 0), (2394, 4), (2509, 3), (2543, 0), (2557, 1), (2572, 3), (2582, 4), (2666, 4), (2775, 4), (2860, 3), (2884, 2), (2943, 0), (2993, 1), (3038, 1)]"
01000000000000001000,4,0.0031520882584712374,"[(50, 4), (1888, 2)]"
00010000001000000000,4,0.0031520882584712374,"[(57, 4), (87, 1), (87, 2), (159, 4), (164, 0), (353, 4), (668, 2), (704, 3), (947, 4), (950, 0), (951, 1), (1140, 3), (1179, 4), (1213, 3), (1290, 1), (1443, 4), (1496, 4), (1512, 4), (1685, 0), (1745, 4), (1813, 4), (2341, 2), (2476, 0), (2485, 1), (2667, 2), (2739, 1), (2751, 0), (2780, 4), (2817, 1), (2836, 3), (2951, 2), (2990, 3)]"
00000000100000000100,4,0.0031520882584712374,"[(76, 0), (78, 3), (196, 4), (199, 4), (234, 2), (252, 1), (308, 2), (452, 0), (528, 0), (574, 1), (632, 1), (646, 4), (706, 3), (963, 3), (1286, 0), (1452, 2), (1612, 0), (1721, 3), (1855, 4), (1931, 2), (2196, 0), (2206, 1), (2267, 0), (2367, 4), (2433, 1), (2448, 1), (2554, 4), (2562, 0), (2820, 4), (2868, 4), (2912, 4), (3021, 3)]"
00000001000000000100,4,0.0031520882584712374,"[(78, 0), (2598, 1)]"
00100000000001000000,4,0.0031520882584712374,"[(80, 0), (111, 0), (127, 3), (187, 0), (220, 0), (284, 4), (287, 4), (343, 4), (396, 0), (439, 0), (444, 1), (509, 4), (523, 0), (596, 3), (611, 1), (634, 0), (741, 2), (789, 1), (832, 2), (1028, 3), (1145, 3), (1249, 2), (1274, 2), (1308, 4), (1327, 2), (1404, 1), (1467, 2), (1478, 4), (1752, 0), (1855, 3), (1887, 3), (1941, 4), (1961, 4), (2275, 3), (2340, 4), (2343, 2), (2489, 2), (2584, 3), (2884, 0), (2885, 1)]"
00000000001000000001,4,0.0031520882584712374,"[(87, 0), (112, 3), (2276, 0)]"
00000100000010000000,3,0.002364066193853428,"[(87, 3), (2993, 0)]"
00000000100010000000,3,0.002364066193853428,"[(87, 4), (2449, 2)]"
00100001000000000000,3,0.002364066193853428,"[(89, 1), (91, 0), (174, 2), (187, 2), (427, 0), (483, 2), (483, 3), (526, 3), (547, 0), (559, 1), (592, 1), (1007, 1), (1377, 0), (1794, 0), (1939, 0), (1948, 0), (2341, 1), (2355, 1), (2380, 0), (2476, 1), (2573, 3), (2573, 4), (2582, 0), (2598, 0), (2711, 2), (2842, 3), (2912, 3), (2923, 1), (3039, 2)]"
00000000000000100001,3,0.002364066193853428,"[(90, 3), (123, 1), (125, 3), (200, 3), (396, 1), (404, 1), (523, 1), (539, 3), (622, 1), (632, 0), (701, 1), (813, 4), (950, 4), (1104, 3), (1225, 4), (1451, 1), (1468, 2), (1509, 1), (1731, 2), (1856, 0), (1900, 1), (1900, 3), (1908, 2), (1918, 2), (2015, 0), (2053, 2), (2206, 4), (2212, 4), (2214, 3), (2272, 4), (2275, 1), (2315, 3), (2367, 1), (2380, 2), (2541, 0), (2541, 4), (2558, 3), (2576, 3), (2666, 3), (2862, 4), (2886, 4), (2903, 4), (2930, 4), (2993, 4)]"
01000010000000000000,3,0.002364066193853428,"[(111, 2), (131, 3), (138, 3), (196, 1), (196, 3), (199, 1), (199, 3), (253, 4), (305, 2), (418, 2), (418, 4), (562, 3), (639, 2), (662, 3), (705, 1), (732, 2), (841, 0), (888, 4), (950, 2), (950, 3), (958, 0), (958, 3), (1142, 3), (1202, 4), (1285, 0), (1394, 0), (1861, 2), (1948, 4), (2057, 0), (2162, 1), (2276, 4), (2292, 1), (2324, 3), (2325, 4), (2339, 3), (2341, 3), (2358, 1), (2598, 2), (2602, 3), (2607, 0), (2651, 3), (2712, 4), (2751, 2), (2920, 4)]"
01000000000001000000,3,0.002364066193853428,"[(112, 0), (341, 2), (1635, 4), (2821, 2)]"
01000100000000000000,3,0.002364066193853428,"[(112, 1), (175, 2), (875, 1)]"
00000000001000000010,3,0.002364066193853428,"[(112, 4)]"
00000100000000000010,3,0.002364066193853428,"[(135, 2), (156, 0), (161, 1), (161, 2), (175, 4), (196, 0), (199, 0), (309, 0), (330, 1), (379, 0), (439, 4), (450, 1), (488, 0), (512, 3), (622, 2), (623, 2), (1031, 1), (1179, 2), (1277, 3), (1309, 1), (1358, 3), (1731, 1), (1830, 3), (1891, 3), (1908, 0), (1944, 4), (1948, 1), (1949, 2), (2058, 2), (2258, 0), (2258, 1), (2258, 4), (2276, 2), (2364, 1), (2380, 4), (2398, 2), (2509, 1), (2558, 1), (2558, 2), (2583, 3), (2605, 1), (2610, 3), (2816, 4), (2930, 3), (2940, 4), (3039, 1)]"
00000010000001000000,3,0.002364066193853428,"[(144, 0)]"
00000000000100010000,3,0.002364066193853428,"[(144, 2)]"
00000100000000010000,3,0.002364066193853428,"[(144, 3)]"
00001000000000000100,3,0.002364066193853428,"[(159, 1)]"
00010000010000000000,3,0.002364066193853428,"[(159, 3), (220, 3), (330, 3), (394, 0), (418, 0), (487, 3), (513, 1), (596, 1), (628, 3), (635, 4), (1234, 3), (1386, 2), (1452, 3), (1758, 4), (1884, 4), (1903, 2), (1944, 0), (1988, 4), (2013, 2), (2048, 0), (2244, 0), (2271, 2), (2277, 2), (2305, 3), (2318, 0), (2536, 4), (2601, 3), (2978, 4), (2993, 3)]"
10000000100000000000,3,0.002364066193853428,"[(178, 3)]"
00000000100000100000,3,0.002364066193853428,"[(218, 0), (268, 4), (486, 2), (872, 3), (2616, 3)]"
00000000000010100000,3,0.002364066193853428,"[(218, 2), (595, 1), (763, 2), (1561, 1), (1635, 0), (2837, 3)]"
00001000010000001000,2,0.0015760441292356187,"[(220, 1), (268, 2)]"
00001000010000000000,2,0.0015760441292356187,"[(221, 0)]"
01000000000100000000,2,0.0015760441292356187,"[(221, 1), (1249, 4)]"
00000100000000000100,2,0.0015760441292356187,"[(221, 3)]"
00001000000000000001,2,0.0015760441292356187,"[(221, 4), (1904, 4)]"
01000000100000000000,2,0.0015760441292356187,"[(232, 1)]"
00100000000100000000,2,0.0015760441292356187,"[(253, 0), (1561, 3)]"
00000000000100000010,2,0.0015760441292356187,"[(253, 1)]"
00000000100000000001,2,0.0015760441292356187,"[(253, 2)]"
00000000100001000000,2,0.0015760441292356187,"[(253, 3)]"
00000110000000000000,2,0.0015760441292356187,"[(254, 3)]"
00000001010000000000,2,0.0015760441292356187,"[(265, 0)]"
10000000000100000000,2,0.0015760441292356187,"[(268, 1)]"
00001000010000000100,2,0.0015760441292356187,"[(284, 0), (2511, 2)]"
00010000000000000010,2,0.0015760441292356187,"[(284, 3)]"
00001000100000010000,2,0.0015760441292356187,"[(305, 4), (2943, 3)]"
00000000000100001000,2,0.0015760441292356187,"[(327, 0)]"
00000100000100000000,2,0.0015760441292356187,"[(327, 1), (1308, 2), (1997, 4), (2585, 0)]"
00001000000010000000,2,0.0015760441292356187,"[(327, 2)]"
00000000001000010000,2,0.0015760441292356187,"[(327, 3)]"
01000000001000000000,2,0.0015760441292356187,"[(327, 4), (436, 3)]"
00000010000010000000,2,0.0015760441292356187,"[(330, 0)]"
00000010000000010000,2,0.0015760441292356187,"[(341, 1)]"
00000000100000000010,2,0.0015760441292356187,"[(353, 0)]"
00000001000000010000,2,0.0015760441292356187,"[(353, 2)]"
00000000001000010001,2,0.0015760441292356187,"[(362, 0)]"
00000000010000000100,2,0.0015760441292356187,"[(362, 1)]"
01000000000000010000,2,0.0015760441292356187,"[(362, 2), (2448, 0)]"
00000010000000000010,2,0.0015760441292356187,"[(362, 4), (522, 0), (963, 2), (1853, 4), (1931, 1), (2071, 2)]"
10000000000000100000,2,0.0015760441292356187,"[(377, 1), (1234, 2), (2760, 3)]"
00000100000000001000,2,0.0015760441292356187,"[(377, 2), (2869, 0)]"
00000000000000100010,2,0.0015760441292356187,"[(404, 0)]"
00000010100000000000,2,0.0015760441292356187,"[(405, 3), (1526, 1), (2315, 0), (2585, 2)]"
00100000000000010000,2,0.0015760441292356187,"[(436, 0)]"
10000000001000000000,2,0.0015760441292356187,"[(436, 1)]"
00000100010000000000,2,0.0015760441292356187,"[(436, 2)]"
00000001000000000001,2,0.0015760441292356187,"[(436, 4), (545, 2), (1090, 3), (2651, 1)]"
00000000100000010000,2,0.0015760441292356187,"[(438, 0)]"
00000001001000000000,2,0.0015760441292356187,"[(439, 1)]"
00010000000000010000,2,0.0015760441292356187,"[(450, 0), (2231, 1)]"
10000000000010000000,2,0.0015760441292356187,"[(452, 2), (789, 2)]"
01000000100001000000,2,0.0015760441292356187,"[(471, 0)]"
00000000000101000000,2,0.0015760441292356187,"[(471, 1)]"
01000000000000000010,2,0.0015760441292356187,"[(471, 2)]"
00010000000100000000,2,0.0015760441292356187,"[(471, 3)]"
00010000100000000000,2,0.0015760441292356187,"[(471, 4)]"
00001000000100000000,2,0.0015760441292356187,"[(486, 0)]"
10000000000000000001,2,0.0015760441292356187,"[(486, 1), (1903, 3), (2542, 4), (2777, 3)]"
10000010000000000000,2,0.0015760441292356187,"[(486, 3), (1308, 1)]"
00000000000000000011,2,0.0015760441292356187,"[(486, 4), (1090, 2), (1513, 2), (1635, 1)]"
00010000000000000100,2,0.0015760441292356187,"[(502, 0)]"
00100000010000000000,1,0.0007880220646178094,"[(502, 1)]"
